,filter_0,filter_1,filter_2,filter_3,filter_4,filter_5,filter_6,filter_7,filter_8,filter_9,filter_10,filter_11,filter_12,filter_13,filter_14,filter_15,filter_16,filter_17,filter_18,filter_19,filter_20,filter_21,filter_22,filter_23,filter_24,filter_25,filter_26,filter_27,filter_28,filter_29,filter_30,filter_31,filter_32,filter_33,filter_34,filter_35,filter_36,filter_37,filter_38,filter_39
chromosome=II,"[36455, 256557, 300677, 405873]","[236691, 300536, 301010, 414511]",[197599],"[46029, 333695, 333755, 394262]","[226873, 238217, 680576, 680580]","[235542, 236383, 238256, 256891, 405937, 477884, 645229]","[6551, 238462, 556981, 680331, 681834]",,[244048],,"[248, 36533, 197470, 246635, 333535, 350785, 378022, 557122]",[347504],[256844],[644964],[605483],[238398],"[227109, 607094]","[36515, 88738, 169216, 224816, 235555, 300444, 414352, 612794]",[680360],"[986, 377947, 406063]","[199, 236358, 236704, 238233, 238405, 326671, 327048, 327095, 350756, 393472, 606774, 645274, 645408]",[36441],"[9635, 347655, 605288, 680602]",[1210],"[6499, 238519]",[9522],"[256664, 326849, 374595, 375113, 375202, 591783]","[88675, 227130, 246560, 375060]","[6285, 88649, 88883, 326789, 333732, 394596]",[605470],"[45942, 235356, 236418, 238247, 238285, 243898, 301270, 606634]",,[556826],"[169118, 300890, 606825]","[223257, 225158, 261796, 414089, 557164, 557168, 680556]","[6554, 414096]",[375284],"[36572, 301448, 374458]",,"[88765, 680776]"
chromosome=III,"[82487, 107208, 123599, 127756, 177339, 295198]","[58002, 123698, 123701, 138827, 138854, 295579]","[82574, 101229, 112215, 116775]","[57622, 57673, 57679, 110147, 138822, 138840, 138843, 138846, 138855]","[14415, 30783, 142545]","[30764, 30768, 82343, 101194, 101812, 114144, 127585]","[110994, 114349, 114419]","[57414, 177497]","[57690, 90349, 138616]","[30930, 116843]","[110435, 127908, 177449]","[114190, 142877]",,,[110318],[227868],,"[65899, 107261, 114523]","[111481, 292758]","[11290, 14542, 112041, 177525, 228137]","[30939, 57985, 90759, 101162, 102255, 111552, 112255, 116753, 116857, 123471, 127817]",[90109],"[90292, 112001]",[14443],"[14448, 101281]",[65914],"[78312, 168339]","[11522, 58154, 101188, 107386, 228031]","[57443, 82471, 107359]",[163101],"[11533, 107226, 127791, 127792]",,,[228000],"[11123, 90094, 90221, 107289, 107484, 112527, 112856]",[102276],,"[82462, 123441]",,"[392, 57613, 57677, 78312, 90854, 110950]"
chromosome=IV,"[456518, 465300, 568877, 602313, 884369, 1017232, 1150869, 1175868, 1269918, 1354982, 1402194, 1527247, 1529975]","[472697, 1461768]","[434240, 569148, 916049, 988284, 1017184, 1489525, 1525542]","[118304, 218154, 230392, 230395, 230401, 230410, 230413, 230416, 230425, 230428, 230431, 356342, 434218, 492201, 492207, 526261, 555821, 1239707, 1239713, 1239716, 1239722, 1239725, 1239728, 1239731, 1270166, 1329646, 1489606, 1489609, 1489618, 1530160, 1530268]","[218381, 322689, 446607, 449760, 472969, 492357, 492357, 569036, 884284, 946213, 1237390, 1305713, 1305934]","[229913, 440811, 453945, 519847, 568941, 988657, 1305741, 1352615, 1525670]","[130519, 359513, 359774, 410208, 428010, 437554, 492373, 492373, 492428, 569151, 720967, 981099, 1402289]","[356542, 988659, 1175708]","[230432, 619883, 721306, 1239717]","[322978, 428333, 444186, 453042, 884322, 988306, 1176017]","[331431, 453120, 488687, 488688, 492047, 1075295, 1201712, 1201805, 1524736, 1527869, 1527966]",,"[428401, 446600, 447712, 447842, 447712, 447842, 1524697]","[454897, 1245080]","[117597, 306877, 309363, 720998, 768556, 1175748, 1245253, 1524733, 1524762, 1527722, 1528984, 1530023, 1530747]","[309370, 447623, 465531, 1239503, 1529200]","[306934, 410514, 437806, 1257116, 1305665, 1527387]","[229922, 443975, 454847, 1489684]","[230262, 456623, 465504, 465511, 668188]","[229822, 519612, 946559, 992607, 1075712, 1256887, 1527505]","[230112, 309368, 340674, 340832, 440471, 453347, 454826, 526528, 541201, 541203, 884668, 929895, 929988, 946499, 988318, 1075436, 1095552, 1237250, 1257288, 1354982, 1402520, 1489526, 1525411, 1525663, 1527557, 1530846, 1531700]","[331264, 564388, 915671, 1243545, 1269939, 1402958, 1529726]","[230054, 309283, 519795, 988722, 1531248]","[465572, 580382]","[45394, 130210, 556110, 881565, 916059, 929698, 1075708, 1239548, 1354901, 1461605, 1524949, 1525314]","[455588, 1075561]","[356698, 465124, 802769, 884444, 1461652, 1529114]","[309207, 437827, 449960, 768726, 980883, 1305686, 1524684, 1530025]","[323070, 331273, 488794, 492244, 521207, 929612, 1017216, 1175789, 1270186, 1402541, 1527534, 1530086]","[230459, 230462, 322875, 1239756]","[449744, 449746, 492503, 519891, 519895, 519896, 519898, 884564, 916006, 988599, 1403008]","[1329645, 1329669, 1329684]","[447780, 447780]","[230215, 230215, 323066, 472577]","[428032, 440779, 446477, 454976, 454992, 541535, 720945, 768875, 980827, 1175656, 1329970, 1531611]","[230452, 230566, 309181, 488740, 1239749, 1257219]","[117682, 359373, 437881, 488875, 519533, 668015, 1402375]","[307139, 1017207, 1305679, 1403049, 1529761]","[456566, 1402286, 1450165]","[410387, 555971, 564420, 1175871, 1529245]"
chromosome=Mito,[81743],,"[1092, 1111, 2043, 2246, 2248, 2673, 2675, 4442, 4646, 6007, 6268, 6310, 7455, 8334, 8378, 8407, 9159, 9261, 9261, 9333, 9335, 10477, 11249, 12142, 12423, 27958, 28243, 28402, 29617, 29721, 29726, 29919, 30874, 31005, 32882, 32907, 32961, 34098, 34249, 34333, 35691, 35954, 35954, 36354, 36356, 43938, 46641, 46671, 47247, 47284, 47307, 47367, 47369, 47641, 47658, 50648, 56896, 62311, 62649, 62651, 62649, 62651, 62816, 63086, 64334, 64355, 64565, 64982, 65297, 67866, 67868, 67870, 68163, 72961, 73082, 77718, 77837, 77839, 80268, 80270, 81656]",,"[32, 228, 230, 394, 394, 661, 664, 683, 698, 713, 683, 698, 713, 952, 955, 967, 979, 991, 994, 2656, 5937, 6248, 6257, 6261, 6362, 6364, 8053, 8966, 8969, 8975, 9144, 9187, 9277, 9279, 9333, 9633, 10508, 10530, 10628, 10530, 10628, 10870, 10874, 10914, 10918, 10927, 10870, 10874, 10914, 10918, 10927, 11176, 11208, 11232, 11261, 11267, 12090, 12105, 12125, 12166, 12309, 12431, 12433, 12437, 12470, 20847, 26032, 26038, 26091, 26113, 26122, 27956, 28259, 28290, 28292, 28382, 28384, 28393, 28395, 28397, 29642, 29758, 29891, 29910, 29976, 30064, 30899, 32943, 35644, 35750, 35941, 35982, 35982, 36071, 36318, 36327, 36421, 43912, 43927, 44030, 44787, 44790, 44793, 46601, 46616, 46924, 47281, 47332, 47373, 47803, 47905, 48068, 48143, 50421, 50440, 50528, 50603, 50881, 50885, 50983, 52152, 52158, 52183, 52452, 54018, 54024, 56470, 56485, 56902, 60109, 60112, 60115, 60118, 61749, 62315, 62675, 62675, 62837, 62960, 64569, 65294, 65612, 65616, 65649, 65969, 66628, 66657, 66958, 67765, 67784, 67819, 72873, 73160, 76972, 77108, 77156, 77173, 77177, 77179, 77544, 79742, 80253, 80437, 81295, 81708, 84459]","[682, 682, 7633, 7705, 9132, 11260, 20582, 32863, 32865, 35740, 35777, 44780, 50964, 56608, 64314, 80436, 81294]","[173, 348, 348, 1084, 2219, 4727, 6337, 7447, 8359, 8370, 9000, 9601, 10718, 12434, 20218, 27989, 29682, 29765, 32897, 32944, 34353, 36346, 45109, 46604, 46835, 46952, 47813, 48071, 52475, 62403, 65634, 65869, 66705, 66928, 67037, 76878, 80283, 81621, 83156, 83214, 84104]",,,"[288, 288, 6006, 6357, 7272, 7329, 27951, 28236, 35918, 36416, 43862, 46989, 47368, 47807, 56865, 60865, 62319, 62732, 62732, 63048, 63052, 64896, 66976, 72920, 76938, 76942, 76946, 77201, 84422]","[471, 471, 44888, 61938, 82878]","[2690, 8414, 8957, 9305, 12458, 29970, 35623, 53869, 56602, 62676, 62676, 77005, 77037, 81313, 81617, 82969, 83188]","[314, 314, 2213, 7439, 8276, 8294, 8968, 10282, 10288, 10559, 10559, 11169, 11231, 11235, 11237, 12417, 29644, 29909, 30005, 30898, 30979, 36340, 36401, 36407, 46631, 46637, 46653, 48067, 51130, 52284, 60111, 60739, 62637, 62637, 72872, 77549, 77712, 80419]",[20706],,,"[35817, 36197, 65783]",,"[62614, 77049]",[31287],"[4517, 6107, 7421, 34003, 52566, 59866, 64404, 67069, 68085, 84162]","[2105, 4550, 6166, 8246, 9042, 10756, 11057, 29851, 34297, 35816, 43989, 48112, 53837, 62872, 64527, 66837, 73021, 76838, 77682, 80513, 81414, 83064]","[771, 2625, 7663, 12514, 44936, 56534, 56689]",[30918],"[46812, 59902]","[65677, 65730]","[99, 2766, 4551, 9504, 10385, 12283, 14341, 34188, 47489, 52346, 67961, 75635, 76839]","[10861, 10861, 46918, 62582, 63028, 64315, 65202, 66890]","[31267, 31286]",,"[140, 144, 657, 667, 677, 682, 677, 682, 845, 2642, 2649, 2819, 4464, 4474, 4478, 4683, 6354, 8066, 8080, 8962, 9183, 9456, 9625, 10879, 10910, 10914, 10917, 10923, 10927, 10879, 10910, 10914, 10917, 10923, 10927, 12068, 12312, 12316, 19993, 20385, 31306, 32860, 34422, 35739, 35776, 44046, 44774, 44781, 44852, 50677, 50968, 50969, 52306, 53881, 54005, 56466, 56602, 56607, 56614, 61725, 61762, 62671, 62678, 62671, 62678, 62980, 63037, 63086, 64565, 64881, 64932, 65191, 65741, 65744, 66786, 67887, 77104, 77169, 77599, 82917, 84005, 84110, 84275]",,,"[12351, 50706, 52350, 65053, 65688, 65895, 72778]","[318, 318, 2242, 2244, 4434, 6369, 8282, 8300, 8306, 10282, 10288, 10294, 11231, 11237, 11241, 11243, 11245, 12385, 29941, 30898, 34058, 34064, 34070, 34076, 36395, 36401, 36407, 46631, 46637, 46643, 51124, 51130, 52290, 54043, 54049, 62633, 62637, 62643, 62645, 62633, 62637, 62643, 62645, 64388, 66961, 66963, 66965, 66967, 66973, 67838, 67844, 67850, 68184, 75500, 77184, 77190, 77256, 77262, 77706, 77712, 77831, 77833, 80419]",,[20505],,"[7526, 64769]","[28138, 65080, 65910, 77883, 80339, 84248]"
chromosome=V,"[3045, 78105, 138661, 145570, 149850, 149942, 269616, 306861, 311904, 424792, 442014, 442090, 469245, 487165, 487356, 573752]","[67657, 442114, 551198]",,"[67655, 78712, 397524, 397527, 442301]","[150299, 207426, 424881, 434889, 487218, 551127]","[78073, 78360, 86679, 148712, 207425, 306979, 322174, 469566]","[149800, 152180, 322496, 438640, 469536, 487451, 487472, 487490]","[79217, 79220, 79223, 79226, 79229, 79232, 79235, 571472]",[3869],"[79508, 118284, 487170, 551373]","[232, 149030, 266851]","[147735, 469639]","[79540, 135658, 150227, 322111, 435996]",,"[573801, 575564]","[100137, 312127, 435846, 487433]",[86638],"[150611, 492677]","[3309, 122408, 122482, 131317, 148949, 150245, 151974]","[970, 53014, 67639, 149039, 306784, 442128, 573574]","[183, 2958, 61750, 78018, 118267, 131064, 145767, 149043, 207322, 269744, 306838, 438651, 469626, 574297, 575663, 576514]","[551343, 574543]","[61735, 138794, 152671, 153071, 153525, 250088, 434789, 492597]",[4094],"[3826, 67983, 100035, 153588, 176950, 363378]","[62047, 135337, 424214]","[3691, 131120, 140276, 153097, 434641, 492449]","[86659, 152018]","[78836, 140109, 146117, 487340]",,"[140312, 152004, 269407]",[79382],"[79447, 150168, 150420]","[2894, 152151, 311957, 573688]","[3964, 77938, 322129, 363689, 576428]","[61992, 207508]","[78048, 78766, 311886, 438516, 443210, 443315, 551293]","[176961, 487331, 574578]","[131028, 431453]","[3786, 148902, 311870, 442093]"
chromosome=VI,"[2235, 64565, 64700, 144879, 191540]",,,"[874, 880, 889, 925, 961, 1033, 1069, 54309]","[101551, 145386, 269713]","[101331, 220447]","[143990, 148549, 148556, 210527]",,"[53678, 148208]","[144626, 145012, 148548, 150144, 226625]",[269843],"[144631, 144645]",[167366],[191375],"[83, 144935]",,"[101381, 205165, 223358]","[53294, 181178]",[2499],"[393, 4592, 223384]","[53925, 137359, 154298, 167580]",,"[645, 53615, 180936, 204971]",[617],"[3673, 137530, 180829, 210867]",[145008],[4771],[149831],"[3497, 3652, 4917, 144667, 157717]",,"[101596, 145386, 148949]",,,"[220303, 220533]","[101423, 144156, 154069, 162369, 210879, 210885]","[101278, 144235]",[162123],[4447],[101517],"[3361, 4275, 64542, 148629, 220617]"
chromosome=VII,"[255033, 278194, 287620, 399143, 405465, 423310, 439598, 545418, 564188, 611132, 661712, 731177, 779649, 828887, 857498, 960190, 1087275, 1087818]","[508346, 921439]","[110603, 110666, 555441, 845794]","[148438, 481622, 481865]","[319680, 319914, 400311, 405376, 496999, 542009, 648321, 823604, 876199, 931161]","[400301, 490950, 490950, 563775, 661532, 706973, 823354, 828663, 857163, 857212, 876456]","[185813, 328824, 365326, 440958, 489468, 500065, 555233, 712679, 794567, 882731]","[122424, 490552, 508343, 534365, 563777]","[311035, 399616, 442737, 661940, 1087096]","[287619, 366610, 731360, 960024]","[185559, 366320, 437678, 479210, 539492, 544484, 961422]","[439289, 857594]","[185636, 346336, 504579, 504579, 823312]","[328539, 400293]","[115424, 255217, 442177, 495372, 502398, 648258, 661864, 815416, 1087867]","[287500, 412242, 499743, 531380, 828562, 878590]",[254971],"[122498, 254966, 278544, 287379, 399482, 499844, 611166, 794475, 815269, 878739, 961386]","[736074, 774554]","[110430, 365470, 437589, 707162, 787434, 794501, 823337, 1087640]","[110606, 122233, 122426, 278388, 278748, 278764, 311457, 366343, 442042, 489565, 497204, 545501, 555909, 556248, 561737, 563911, 648293, 661773, 661845, 700656, 739050, 774206, 787707, 823718, 876374, 1090580]",,"[319581, 405276, 504751, 563840]",,"[254863, 328681, 405552, 437542, 439464, 706990, 731037, 794330, 823447]","[74040, 228043, 440643, 441886, 544492, 648371, 727573]","[727620, 774182, 779598, 1087997]","[110812, 399481, 400294, 439175, 539479, 712550]","[278241, 328419, 491279, 534237, 545526, 921490]","[442206, 815513, 921678]","[278770, 278773, 278774, 278776, 278777, 278778, 278779, 278780, 278781, 365135, 400299, 440908, 496973, 499700, 555388, 556276, 706955, 727330, 779689, 876570, 876576]",,,"[736319, 921437, 1087754]","[74149, 328695, 399259, 531831, 531833, 531837, 531839, 531841, 531843, 531845, 531847, 531849, 531851, 1090494]","[707036, 731004]","[122198, 148223, 311363, 423038, 440968, 706897]","[346055, 544577]","[366215, 779558, 828601, 930828]","[205516, 423087, 437688, 774357, 828770]"
chromosome=VIII,"[127122, 147752, 389128, 559269]","[526668, 526938]",[557061],"[35395, 35671, 386174, 451932, 451950, 555298, 555301]","[75972, 75972, 108599, 146589, 237735, 381722]","[105640, 108133, 108137, 109456, 116331, 146741, 466892, 557595]","[105786, 105970, 127217, 358724]","[386089, 386092, 386095, 386098]",,,"[413, 413]","[108902, 108902]","[109325, 109325]",,"[841, 145983, 358323, 358734, 559318]",,,"[62557, 116238, 116350, 358362]",[76040],"[1151, 105892, 559091]","[364, 364, 76223, 115960, 119846, 120538, 121727, 134181, 145786, 237718, 381493, 556872, 562036, 562615]",[504805],"[109078, 146489, 381712, 504920]",[504866],,[554560],"[146341, 389036, 504689, 559448]",[105735],"[116075, 120372, 388954, 451823]",,"[244, 35570, 127081, 237726, 237727, 381731]",,,"[35278, 451730, 559205]","[75975, 75977, 75979, 75981, 75975, 75977, 75979, 75981, 213119, 389030, 475927, 475931, 557639, 561947]","[109297, 109297, 109365, 127210]",[127303],[190],"[109646, 120141, 127214, 562295]","[504794, 555314]"
chromosome=X,"[3352, 6518, 58961, 74532, 115964, 355369, 422976, 437691, 437702, 438378]",[702124],"[121914, 415904, 542934]","[1650, 1917, 1989, 441105, 652341]","[234124, 523861, 541452, 652615, 663947]","[121937, 355433, 378541, 437693, 438551, 440980, 538630, 663934, 663948]","[204868, 234034, 453382, 524210, 617861]","[524186, 531764, 663932]",[4176],"[74723, 396880, 453275]","[81, 204635, 233882, 476195]",,[431471],[437218],"[382567, 424393, 652243]",[437320],[59015],"[2073, 58917, 139623, 197262, 415960, 476246]",,"[1169, 414835, 433376, 436331, 541392]","[233996, 349408, 355277, 374753, 391100, 414877, 437946, 518032, 531977, 538674, 541488, 745719]",[702356],"[1421, 7955, 197112, 197360, 349413, 652478]","[1393, 4382, 4402]","[4133, 517648]","[430900, 441020]","[424474, 702240]","[349380, 378184, 414804, 416081, 438579, 476182, 608770]","[115948, 139724, 197310, 374710, 437794, 538473, 541652]",,"[59163, 436330, 538629, 652611, 663933, 663935, 663939]",,,"[59029, 121847, 617992, 664037]","[4271, 74649, 204706, 349270, 437330, 474687, 664225]","[7713, 531914]","[59061, 116029, 391259, 436255, 541313]","[213, 74397, 115939, 374424, 438325]","[354423, 374387, 433427, 438537, 745324]","[4093, 374553, 422979, 438733, 438733, 454009, 702345, 745414]"
chromosome=XII,"[86972, 146331, 148548, 162131, 446989, 473006, 478322, 486238, 541185, 781249, 784208, 814289, 1068459, 1073434, 1074579, 1076162]","[162836, 162842, 254693, 329737, 806524, 806527]","[47806, 161867, 163118, 262838, 1029981, 1065231, 1071729]","[7307, 7538, 7574, 47999, 108693, 163599, 163602, 163653, 166448, 329729, 329735, 369906, 369909, 369912, 499685, 605318, 795851, 806522, 806525, 806726, 806729, 810626, 1073341, 1076347, 1076455]","[86840, 147603, 243645, 287705, 402643, 402737, 712485, 734925, 930835]","[92443, 197069, 199497, 243646, 264067, 264071, 264073, 374482, 402508, 427128, 449624, 449937, 472556, 478432, 482136, 485788, 489440, 734906, 820292, 838350, 856201, 899446, 953512, 976143, 1029957, 1072280]","[86948, 167840, 712396, 797006, 810644, 820208, 952106, 1030238, 1052183, 1052356]","[86824, 157995, 403659, 449591, 708691, 708706, 795806, 795815, 931150, 1018095]","[8520, 165236, 199682, 282176, 369923, 370851, 441143, 441190, 628705, 638442, 1074400]","[445335, 605188, 794217]","[94, 451, 5743, 6088, 146012, 147562, 160827, 217968, 281166, 366514, 369760, 489479, 654554, 688068, 820246, 820344, 952979, 1018000, 1067393]","[92413, 793903, 976085, 1064241]","[243814, 243818, 875583]","[218156, 232388]","[873, 243258, 403817, 472544, 482124, 485776, 489428, 628429, 818737, 1067157, 1067246, 1068508, 1070271, 1076210]","[146319, 147558, 163898, 164170, 254914, 281086, 281861, 370551, 456295, 953081]","[9212, 92553, 148635, 1073574]","[157994, 202011, 254627, 281930, 329383, 329716, 370497, 445359, 472750, 473003, 486235, 638299, 654605, 687667, 781178, 781352, 898701, 899319, 1065253]","[8997, 147395, 163013, 243981]","[5569, 11104, 108750, 151592, 162985, 218147, 244056, 370491, 481862, 731965, 806931, 976224, 1065148, 1068281, 1073692]","[402, 6039, 146456, 159631, 160728, 163901, 167108, 199542, 214811, 232749, 263979, 426915, 445382, 523103, 628659, 708777, 734972, 794038, 795460, 814474, 818846, 819904, 899608, 952999, 962898, 1065090, 1070370, 1071224, 1073744, 1077887]","[197099, 499556, 899608]","[9184, 108896, 232596, 263717, 374416, 427193, 478517, 656981, 712672, 818814, 838595, 1070772]","[164350, 628711]","[2468, 145669, 145813, 159682, 161872, 218346, 218346, 281880, 282079, 282306, 329579, 370651, 370705, 638108, 712570, 712663, 729917, 730147, 976027]","[162170, 263676, 472976, 486208, 952811]","[87013, 146247, 167042, 202246, 242961, 280858, 448688, 489486, 784485, 784580, 963014]","[243787, 263761, 329722, 329731, 329737, 329743, 441340, 499471, 499711, 654541, 729949, 730324, 856452, 1064340, 1076212]","[8424, 108761, 166791, 166791, 199549, 232816, 656931, 708653, 729999, 793794, 794075, 1018160, 1073721, 1076273]","[165259, 263916, 263919]","[86828, 147599, 147652, 147652, 243637, 264064, 264068, 264069, 264070, 264072, 264074, 264075, 264076, 264077, 264078, 281840, 374491, 523288, 734911, 734914, 734978, 781076]","[7414, 7450, 795841]","[281067, 781261]","[162818, 281863, 348607, 478473, 638179, 732163, 857158, 1068395]","[92595, 167104, 199478, 214773, 243818, 243820, 262796, 262806, 262808, 262810, 262812, 262814, 262816, 262820, 403218, 781034, 820452, 875583, 953052, 953663, 1051922, 1071135, 1072324, 1077798]","[87194, 403072, 540733]","[712738, 731886, 795530, 806870, 898459, 1052079]","[228, 5453, 5865, 147563, 147854, 243875, 281016, 449523, 449756, 810929, 814209]","[369557, 427040, 953372, 1071483, 1078146]","[86805, 97389, 147840, 148430, 164369, 232570, 282007, 401632, 478372, 490295, 541058, 541058, 628378, 708734, 951506]"
